OBJECTID_1,PIN,ZONE_DISTR,ZONE_TYPE_,DATE,PHOTOGRAPH,VACANT_ABA,GRADE_RUBR,STRUCTURE_,STRUCTURAL,BUILDING_E,BRICK,COMMERCIAL,TWO_STORIE,STONE,PUBLIC_GOV,RESIDENTIA,BARS_ON_WI,BASEMENT_W,SIDING,MULTI_FAMI,ATTACHMENT,SINGLE_FAM,CONCRETE_S,OBSTRUCTED,WOOD,REVIEWED,NEIGHBORHO,COUNCIL_DI,CENSUS_TRA,LANDBANK,HHF,ADDRESS,RESIDENT_1,PARKING_LO,DUMPING_ON
36,45-08-14-206-032.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2628 MARSHALLTOWN DRIVE,Yes,,
37,45-08-13-304-006.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,Fourth District,Census Tract 115,,,3290 EAST 26TH AVENUE,Yes,,
38,45-08-14-305-008.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1829-31 EAST 25TH PLACE,,No Parking Lot Present,
39,45-05-32-330-014.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,Yes,,,Yes,,Yes,,Yes,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,524 NORTH MONTGOMERY STREET,Yes,,
40,45-08-23-151-001.000-017,F1,FLOOD PLAN,2014/11/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,Parks Department,,3100 MISSISSIPPI STREET,,No Parking Lot Present,
41,45-08-14-305-083.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1824-26 RAILROAD STREET,,No Parking Lot Present,
42,45-09-07-203-015.000-004,R3,RESIDENTIAL,2013/03/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1157 GREENE STREET,,,
43,45-08-14-353-010.000-004,F1,FLOOD PLAN,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,,,1801-07 EAST 28TH PLACE APPR,,No Parking Lot Present,
44,45-08-14-302-001.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1800-02 EAST 25TH PLACE,,No Parking Lot Present,
45,45-08-14-126-031.000-004,R2,RESIDENTIAL,2013/08/01,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,Parks Department,,2300 EAST 22ND PLACE,,,
46,45-08-14-206-022.000-004,R2,RESIDENTIAL,2013/06/01,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,Yes,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2522 EAST 23RD AVENUE,Yes,,
47,45-08-14-353-009.000-004,F1,FLOOD PLAN,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,,,1617-23 EAST 28TH PLACE APPR,,No Parking Lot Present,
48,45-08-13-308-003.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,3345 EAST 25TH AVENUE,,No Parking Lot Present,
49,45-08-14-205-013.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2617 EAST 22ND AVENUE,Yes,,
50,45-08-14-352-002.000-004,F1,FLOOD PLAN,2013/11/15,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2733-39 MISSISSIPPI STREET,,No Parking Lot Present,
51,45-08-14-351-010.000-004,F1,FLOOD PLAN,2013/11/15,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1800-06 INDUSTRIAL HIGHWAY,,No Parking Lot Present,
52,45-08-14-309-018.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2713-15 MAINE STREET,,No Parking Lot Present,
53,45-08-14-309-015.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2701-03 MAINE STREET,,No Parking Lot Present,
54,45-08-14-309-020.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2721-23 MAINE STREET,,No Parking Lot Present,
55,45-08-13-306-001.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,,,,,,Fourth District,Census Tract 115,,,3435 EAST 26TH AVENUE,Yes,,
56,45-08-14-230-006.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2741 EAST 21ST PLACE,Yes,,
57,45-08-14-101-022.000-004,R2,RESIDENTIAL,2013/12/10,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,City of Gary,,1925 EAST 21ST AVENUE,,No Parking Lot Present,
58,45-08-11-380-021.000-004,R3,RESIDENTIAL,2013/07/27,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,Yes,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2317 EAST 20TH AVENUE,Yes,,
59,45-08-11-380-016.000-004,R3,RESIDENTIAL,2013/07/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,2233 EAST 20TH AVENUE,,,
60,45-08-14-309-031.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2680-82 MISSOURI STREET,,No Parking Lot Present,
61,45-08-14-305-081.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1816-18 RAILROAD STREET,,No Parking Lot Present,
62,45-08-14-308-020.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2664-66 MAINE STREET,,No Parking Lot Present,
63,45-08-14-309-005.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2661-63 MAINE STREET,,No Parking Lot Present,
64,45-08-14-307-057.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2636-38 MISSOURI STREET,,No Parking Lot Present,
65,45-08-14-304-063.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,City of Gary,,1704-06 RAILROAD STREET,,No Parking Lot Present,
66,45-08-14-303-057.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1640-42 RAILROAD STREET,,No Parking Lot Present,
67,45-08-14-306-032.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2633-35 ALABAMA STREET,,No Parking Lot Present,
68,45-08-14-303-051.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1616-18 RAILROAD STREET,,No Parking Lot Present,
69,45-08-14-303-024.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2601-03 MISSISSIPPI STREET,,No Parking Lot Present,
70,45-08-12-228-018.000-004,R2,RESIDENTIAL,2013/05/18,,Vacant/Abandoned Structure,Dangerous,Structure Present,Significant Structural Damage,Building Not Enclosed/Secure,,,,,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,Aetna,First District,Census Tract 115,,,1175 BENTON STREET,Yes,,
71,45-09-04-126-005.000-004,R1,RESIDENTIAL,2014/10/23,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,8419 EAST DUNES HIGHWAY,,No Parking Lot Present,
72,45-09-07-204-014.000-004,R3,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,1149 GREENE PLACE,Yes,,
73,45-08-14-307-038.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2566-68 MISSOURI STREET,,No Parking Lot Present,
74,45-08-14-351-006.000-004,F1,FLOOD PLAN,2013/11/15,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1708-14 INDUSTRIAL BOULEVARD,,No Parking Lot Present,
75,45-08-14-301-011.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1636-38 EAST 25TH PLACE,,No Parking Lot Present,
76,45-08-13-281-011.000-017,R3,RESIDENTIAL,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,City of Gary,,2457 ALLEN STREET,,No Parking Lot Present,
77,45-08-13-282-005.000-017,R3,RESIDENTIAL,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2451 BENTON STREET,,No Parking Lot Present,
78,45-08-14-202-007.000-004,R2,RESIDENTIAL,2013/07/07,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2517 EAST 21ST AVENUE,Yes,,
79,45-08-13-255-001.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2401 NEW YORK STREET,,No Parking Lot Present,
80,45-08-14-206-003.000-004,R2,RESIDENTIAL,2013/06/01,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2323 WISCONSIN STREET,Yes,,
81,45-08-13-278-016.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2300 CASS STREET,,No Parking Lot Present,
82,45-08-14-252-015.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2553 EAST 23RD AVENUE,Yes,,
83,45-08-01-351-001.000-004,M3,MANUFACTURING,2014/12/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.05,,,3300 EAST 7TH AVENUE APPR,,No Parking Lot Present,
84,45-08-14-232-012.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2727 MARSHALLTOWN DRIVE,Yes,,
85,45-08-14-232-011.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2735 MARSHALLTOWN DRIVE,Yes,,
86,45-08-14-206-019.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2643 EAST 22ND PLACE,Yes,,
87,45-08-13-252-003.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Fair,Structure Present,,,Yes,,Yes,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,Fourth District,Census Tract 115,,,2310 STATE STREET,Yes,,
88,45-08-14-228-013.000-004,R2,RESIDENTIAL,2013/09/24,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2841 CENTRAL AVENUE,Yes,,
89,45-08-14-230-005.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2733 EAST 21ST PLACE,Yes,,
90,45-08-14-206-015.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2609 EAST 22ND PLACE,Yes,,
91,45-08-14-229-025.000-004,R2,RESIDENTIAL,2013/06/01,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,Yes,,Pulaski,Fourth District,Census Tract 114,,,2822 EAST 21ST PLACE,Yes,,
92,45-08-13-100-008.000-017,R3,RESIDENTIAL,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,EAST 25TH AND DAKOTA STREET,,,
93,45-08-14-228-034.000-004,R2,RESIDENTIAL,2013/07/07,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2856 CENTRAL DRIVE,Yes,,
94,45-08-14-101-029.000-004,R2,RESIDENTIAL,2013/08/01,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,1600-20 EAST 22ND PLACE,,,
95,45-08-14-229-015.000-004,R2,RESIDENTIAL,2013/07/08,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2849 CENTRAL DRIVE,Yes,,
96,45-08-14-204-030.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Fair,Structure Present,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes,,Pulaski,Fourth District,Census Tract 114,,,2622 EAST 22ND AVENUE,Yes,,
97,45-05-33-478-041.000-004,B3-1,BUSINESS,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,212-16 COUNTY LINE ROAD,,No Parking Lot Present,
98,45-08-13-100-001.000-017,M1-1,MANUFACTURING,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 114,,,2000 COLORADO STREET,,No Parking Lot Present,
99,45-08-02-303-018.000-004,R3,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,Emerson,First District,Census Tract 106,,,614 ILLINOIS STREET,Yes,,
100,45-08-13-279-001.000-017,R3,RESIDENTIAL,2014/12/18,http://localdata-uploads.s3.amazonaws.com/beta/8a340df0-87af-11e2-9485-c3fff44e7c8e/2014-12-18-2265-cass-st-5310u7x.jpg,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Not Enclosed/Secure,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,Fourth District,Census Tract 115,,,2265 CASS STREET,Yes,,
101,45-08-14-252-012.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2529 EAST 23RD AVENUE,Yes,,
102,45-09-07-251-005.000-004,R3,RESIDENTIAL,2013/03/08,,Vacant/Abandoned Structure,Good,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,5633 EAST 13TH PLACE,Yes,,
103,45-05-32-233-034.000-004,R2,RESIDENTIAL,2014/07/11,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 101,,,7624 LOCUST AVENUE,Yes,,
104,45-08-14-305-013.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Department of Redevelopment,,2563-65 ILLINOIS STREET,,No Parking Lot Present,
